time               , order_type, amount, price,         ,
2024-11-03 23:21:58, TEST SELL , 10    , 513  ,         ,
2024-11-03 23:26:26, TEST SELL , 10    , 513  ,         ,
2024-11-03 23:26:26, SELL      , 10    , 513  ,         ,
2024-11-03 23:26:26, BUY       , 10    , 513  ,         ,
2024-11-03 23:26:31, SELL      , 10    , 513  ,         ,
2024-11-03 23:28:08, TEST SELL , 10    , 513  ,         ,
2024-11-03 23:28:08, SELL      , 10    , 513  ,         ,
2024-11-03 23:28:08, BUY       , 10    , 513  ,         ,
2024-11-03 23:28:13, SELL      , 10    , 513  ,         ,
2024-11-06 10:13:23, BUY       , 0.01  , 513  ,         ,
2024-11-06 10:15:29, SELL      , 0.01  , 513  ,         ,
2024-11-06 10:15:31, BUY       , 0.01  , 513  ,         ,
2024-11-06 10:15:37, SELL      , 0.01  , 513  ,         ,
2024-11-06 10:19:11, SELL      , 0.01  , 513  , executed, 0
2024-11-06 10:19:13, BUY       , 0.01  , 513  , executed, 0.0
2024-11-06 10:19:19, SELL      , 0.01  , 513  , executed, 0.0
2024-11-06 10:22:36, SELL      , 0.01  , 513  , executed, 0
2024-11-06 10:22:38, BUY       , 0.01  , 513  , executed, 0.0
2024-11-06 10:22:44, SELL      , 0.01  , 513  , executed, 0.0
2024-11-06 10:24:19, SELL      , 0.01  , 513  , executed, 0
2024-11-06 10:24:21, BUY       , 0.01  , 513  , executed, 0.0
2024-11-06 10:24:27, SELL      , 0.01  , 513  , executed, 0.0
2024-11-06 10:26:53, SELL      , 0.01  , 513  , executed, 0
2024-11-06 10:26:54, BUY       , 0.01  , 513  , executed, 0.0
2024-11-06 10:27:01, SELL      , 0.01  , 513  , executed, 0.0
2024-11-06 10:29:35, SELL      , 0.01  , 513  , executed, 0
2024-11-06 10:29:42, SELL      , 0.01  , 513  , executed, 0
2024-11-06 10:29:49, SELL      , 0.01  , 513  , executed, 0
